Stock Name,Price,Country,Sector,Market Cap,Debt Status,Last 6 Months Return (%),Last 1 Year Return (%)
Stock_41,3799.79,USA,Energy,Large Cap,Debt,-19.08,23.27
Stock_42,4279.2,India,Finance,Mid Cap,Debt Free,-20.88,11.52
Stock_43,1210.42,USA,Consumer Goods,Small Cap,Debt,17.32,54.65
Stock_44,2766.36,China,Consumer Goods,Mid Cap,Debt Free,29.09,-40.23
Stock_45,138.6,India,Consumer Goods,Small Cap,Debt,-17.46,14.42
Stock_46,1512.46,India,Finance,Mid Cap,Debt,-27.9,16.84
Stock_47,3622.37,India,Consumer Goods,Small Cap,Debt,22.63,23.12
Stock_48,3126.18,Japan,Finance,Large Cap,Debt Free,19.59,-22.51
Stock_49,4742.14,China,Technology,Mid Cap,Debt,-26.29,33.6
Stock_50,2229.93,USA,Finance,Mid Cap,Debt,6.77,-35.87
Stock_51,4654.81,India,Technology,Large Cap,Debt Free,-15.53,-49.62
Stock_52,3110.28,India,Healthcare,Small Cap,Debt Free,-21.01,-1.56
Stock_53,2682.74,Japan,Energy,Large Cap,Debt,-25.73,22.65
Stock_54,2232.95,USA,Technology,Large Cap,Debt,36.83,69.98
Stock_55,2999.64,India,Consumer Goods,Large Cap,Debt,-11.61,-23.05
Stock_56,2834.48,India,Healthcare,Large Cap,Debt,45.13,20.74
Stock_57,751.02,India,Technology,Mid Cap,Debt Free,-23.2,29.91
Stock_58,4429.83,India,Consumer Goods,Mid Cap,Debt,14.67,-27.43
Stock_59,1376.14,USA,Technology,Mid Cap,Debt,-23.21,3.02
Stock_60,1456.22,Japan,Consumer Goods,Mid Cap,Debt Free,40.25,-15.35
Stock_61,4020.71,Japan,Technology,Large Cap,Debt Free,-16.71,16.23
Stock_62,3698.94,USA,Consumer Goods,Large Cap,Debt,41.48,80.94
Stock_63,1907.92,India,Energy,Mid Cap,Debt Free,-13.58,73.63
Stock_64,4535.56,India,Technology,Mid Cap,Debt,5.63,77.88
Stock_65,4642.32,China,Technology,Large Cap,Debt Free,-6.0,-35.89
Stock_66,3804.87,China,Consumer Goods,Large Cap,Debt,3.62,85.21
Stock_67,4142.49,India,Technology,Large Cap,Debt,35.25,-13.78
Stock_68,1125.56,China,Technology,Large Cap,Debt,43.71,-7.76
Stock_69,1007.0,India,Consumer Goods,Large Cap,Debt Free,26.92,-47.81
Stock_70,246.75,India,Consumer Goods,Large Cap,Debt,-7.65,-3.54
Stock_71,3168.19,China,Finance,Large Cap,Debt Free,11.58,-8.78
Stock_72,2993.12,India,Technology,Large Cap,Debt,45.54,-10.51
Stock_73,305.14,India,Energy,Large Cap,Debt Free,4.63,93.47
Stock_74,4532.45,China,Finance,Mid Cap,Debt Free,20.78,6.48
Stock_75,1933.58,Japan,Technology,Mid Cap,Debt,39.65,-10.71
Stock_76,949.85,India,Healthcare,Large Cap,Debt,-20.2,71.78
Stock_77,1249.77,India,Technology,Large Cap,Debt,2.01,32.52
Stock_78,3534.29,India,Energy,Large Cap,Debt,-6.3,-20.23
Stock_79,3689.93,USA,Energy,Mid Cap,Debt,30.35,26.25
Stock_80,2233.08,China,Energy,Large Cap,Debt,-2.8,3.24
Stock_81,94.8,India,Energy,Mid Cap,Debt Free,9.06,-6.43
Stock_82,4086.86,India,Consumer Goods,Large Cap,Debt,-25.15,50.76
Stock_83,3946.36,India,Finance,Small Cap,Debt Free,44.1,42.56
Stock_84,2209.54,Japan,Finance,Mid Cap,Debt Free,44.21,47.85
Stock_85,1337.64,USA,Healthcare,Mid Cap,Debt Free,-5.77,37.84
Stock_86,1697.66,China,Healthcare,Mid Cap,Debt Free,-1.76,-22.39
Stock_87,4641.9,USA,Healthcare,Mid Cap,Debt Free,17.82,-15.4
Stock_88,915.62,Japan,Energy,Small Cap,Debt,-19.11,-23.78
Stock_89,1202.6,India,Consumer Goods,Mid Cap,Debt,-1.89,63.32
Stock_90,2537.76,Japan,Technology,Small Cap,Debt,7.12,-42.11
Stock_91,3630.33,India,Technology,Mid Cap,Debt,32.91,-32.24
Stock_92,1013.77,USA,Healthcare,Small Cap,Debt,37.48,70.17
Stock_93,4172.19,India,Finance,Mid Cap,Debt,-14.94,94.77
Stock_94,174.0,China,Energy,Small Cap,Debt Free,14.8,40.17
Stock_95,880.29,Japan,Technology,Large Cap,Debt,-5.47,33.14
Stock_96,2266.24,Japan,Technology,Mid Cap,Debt,-13.08,78.85
Stock_97,4080.5,India,Finance,Large Cap,Debt Free,32.24,39.35
Stock_98,4025.43,India,Healthcare,Mid Cap,Debt,25.01,-49.76
Stock_99,304.61,China,Consumer Goods,Small Cap,Debt,28.95,-1.84
Stock_100,1814.5,China,Finance,Mid Cap,Debt Free,25.82,35.24
Stock_101,421.76,India,Finance,Mid Cap,Debt,-8.64,90.72
Stock_102,2315.85,India,Technology,Large Cap,Debt Free,40.06,-12.19
Stock_103,3490.33,USA,Finance,Small Cap,Debt,-16.5,40.14
Stock_104,3694.83,USA,Healthcare,Mid Cap,Debt,34.99,49.66
Stock_105,2227.51,China,Consumer Goods,Mid Cap,Debt,-21.13,-10.89
Stock_106,1086.5,USA,Finance,Small Cap,Debt,8.7,-15.28
Stock_107,3046.74,Japan,Healthcare,Mid Cap,Debt,37.83,-14.89
Stock_108,189.06,China,Energy,Large Cap,Debt,-29.03,-38.11
Stock_109,1978.69,USA,Technology,Mid Cap,Debt,10.95,-41.87
Stock_110,3637.53,Japan,Consumer Goods,Small Cap,Debt,-12.54,-40.29
Stock_111,4196.83,India,Finance,Small Cap,Debt,-22.44,93.81
Stock_112,4992.16,China,Energy,Mid Cap,Debt Free,44.6,8.5
Stock_113,3787.84,USA,Technology,Mid Cap,Debt Free,-3.08,-37.51
Stock_114,4586.91,China,Consumer Goods,Large Cap,Debt Free,-0.76,67.63
Stock_115,4034.82,USA,Energy,Large Cap,Debt Free,-3.86,76.46
Stock_116,3716.67,India,Consumer Goods,Mid Cap,Debt,40.81,-29.95
Stock_117,3920.58,Japan,Technology,Mid Cap,Debt,42.52,-16.15
Stock_118,2680.89,India,Technology,Large Cap,Debt Free,49.91,-30.02
Stock_119,3854.27,India,Healthcare,Mid Cap,Debt Free,37.29,36.65
Stock_120,3781.36,USA,Energy,Large Cap,Debt,36.98,28.86
Stock_121,4001.03,China,Energy,Small Cap,Debt,44.34,-34.16
Stock_122,840.88,USA,Technology,Mid Cap,Debt Free,23.88,1.3
Stock_123,216.32,Japan,Technology,Mid Cap,Debt,-2.93,-40.86
Stock_124,709.85,India,Consumer Goods,Mid Cap,Debt Free,31.02,-24.6
Stock_125,4878.37,India,Finance,Mid Cap,Debt Free,-18.75,-37.58
Stock_126,4136.33,India,Consumer Goods,Mid Cap,Debt,12.86,-11.76
Stock_127,2447.86,USA,Technology,Mid Cap,Debt Free,-19.7,-9.07
Stock_128,3398.11,Japan,Healthcare,Mid Cap,Debt,21.73,68.43
Stock_129,2332.06,China,Finance,Mid Cap,Debt,-13.33,87.28
Stock_130,4128.47,USA,Technology,Small Cap,Debt Free,14.87,83.34
Stock_131,150.29,USA,Technology,Small Cap,Debt Free,10.79,21.45
Stock_132,663.55,Japan,Consumer Goods,Small Cap,Debt,-21.86,67.45
Stock_133,335.27,Japan,Technology,Large Cap,Debt,49.61,37.92
Stock_134,2640.47,India,Consumer Goods,Mid Cap,Debt,23.76,46.83
Stock_135,330.29,India,Consumer Goods,Small Cap,Debt Free,13.83,-46.69
Stock_136,2389.37,Japan,Finance,Large Cap,Debt Free,26.88,-34.96
Stock_137,3478.58,India,Technology,Mid Cap,Debt,-8.0,30.59
Stock_138,2751.93,USA,Technology,Mid Cap,Debt,-13.55,14.53
Stock_139,4220.64,India,Healthcare,Mid Cap,Debt,27.57,-9.22
Stock_140,439.32,India,Energy,Small Cap,Debt,-29.74,63.25
Stock_141,4181.28,India,Technology,Small Cap,Debt,8.76,21.33
Stock_142,445.74,Japan,Consumer Goods,Small Cap,Debt Free,21.11,41.18
Stock_143,3114.29,Japan,Healthcare,Mid Cap,Debt,4.68,14.2
Stock_144,2440.87,India,Technology,Mid Cap,Debt Free,9.75,24.29
Stock_145,3419.06,China,Consumer Goods,Mid Cap,Debt Free,32.47,52.18
Stock_146,4542.09,Japan,Healthcare,Large Cap,Debt,47.31,18.87
Stock_147,756.58,India,Consumer Goods,Large Cap,Debt,43.56,23.9
Stock_148,1223.56,India,Healthcare,Large Cap,Debt,8.39,82.13
Stock_149,3814.03,India,Finance,Mid Cap,Debt,26.92,54.77
Stock_150,3096.87,India,Finance,Small Cap,Debt,21.66,17.22
Stock_151,2615.02,China,Technology,Mid Cap,Debt,8.62,-18.38
Stock_152,2746.12,China,Finance,Large Cap,Debt,18.45,26.71
Stock_153,4649.25,India,Energy,Small Cap,Debt Free,43.13,-45.28
Stock_154,2238.38,India,Healthcare,Mid Cap,Debt,7.83,-42.27
Stock_155,2525.71,USA,Technology,Small Cap,Debt,42.88,-35.31
Stock_156,2984.47,India,Healthcare,Large Cap,Debt Free,7.58,45.04
Stock_157,4829.39,Japan,Technology,Large Cap,Debt Free,-22.88,91.26
Stock_158,1438.32,USA,Technology,Small Cap,Debt Free,12.83,-1.07
Stock_159,4074.08,Japan,Technology,Small Cap,Debt,26.81,4.55
Stock_160,246.02,India,Consumer Goods,Mid Cap,Debt,-15.01,35.33
Stock_161,2517.72,India,Consumer Goods,Mid Cap,Debt,49.3,-1.97
Stock_162,4284.08,Japan,Technology,Mid Cap,Debt,14.2,-40.77
Stock_163,1343.43,India,Healthcare,Large Cap,Debt Free,28.82,34.63
Stock_164,4649.7,India,Healthcare,Mid Cap,Debt,-26.18,88.58
Stock_165,2194.62,India,Healthcare,Large Cap,Debt,-17.64,17.79
Stock_166,342.3,India,Finance,Large Cap,Debt,-0.62,23.16
Stock_167,4738.34,USA,Healthcare,Mid Cap,Debt,-8.41,21.76
Stock_168,338.97,USA,Healthcare,Large Cap,Debt,22.92,-49.61
Stock_169,517.6,USA,Technology,Mid Cap,Debt,-21.2,-3.28
Stock_170,3839.97,Japan,Finance,Mid Cap,Debt,40.52,-6.3
Stock_171,971.47,USA,Healthcare,Mid Cap,Debt Free,-3.1,41.64
Stock_172,4391.54,India,Finance,Mid Cap,Debt,35.6,80.45
Stock_173,1192.03,USA,Healthcare,Large Cap,Debt,-23.53,68.29
Stock_174,2071.82,China,Healthcare,Mid Cap,Debt,26.53,8.17
Stock_175,2263.05,China,Finance,Small Cap,Debt Free,-18.65,71.92
Stock_176,960.07,Japan,Technology,Small Cap,Debt Free,0.38,45.1
Stock_177,2340.93,India,Technology,Large Cap,Debt,-1.94,95.37
Stock_178,3193.69,China,Consumer Goods,Mid Cap,Debt,-4.34,19.66
Stock_179,3126.12,India,Technology,Large Cap,Debt Free,-9.09,78.04
Stock_180,4610.84,China,Technology,Large Cap,Debt,-26.53,14.3
Stock_181,1033.99,India,Technology,Mid Cap,Debt,13.94,75.43
Stock_182,544.37,India,Technology,Mid Cap,Debt,29.99,89.96
Stock_183,2293.32,India,Consumer Goods,Mid Cap,Debt Free,-13.67,59.65
Stock_184,4779.33,India,Technology,Large Cap,Debt,12.45,2.95
Stock_185,2331.73,China,Finance,Mid Cap,Debt,-9.02,38.17
Stock_186,2354.45,China,Technology,Mid Cap,Debt,2.56,26.22
Stock_187,884.83,China,Energy,Large Cap,Debt,21.37,9.74
Stock_188,3364.5,Japan,Energy,Small Cap,Debt,40.39,71.66
Stock_189,3873.86,USA,Finance,Mid Cap,Debt,-26.03,3.5
Stock_190,769.62,India,Energy,Mid Cap,Debt,24.44,-7.52
Stock_191,2311.46,USA,Finance,Small Cap,Debt Free,-5.8,50.56
Stock_192,3025.26,India,Finance,Small Cap,Debt,41.82,-38.03
Stock_193,4444.71,India,Finance,Large Cap,Debt Free,40.81,63.8
Stock_194,922.71,Japan,Technology,Small Cap,Debt,28.77,96.15
Stock_195,3494.57,USA,Energy,Mid Cap,Debt Free,26.58,78.49
Stock_196,4698.81,China,Technology,Mid Cap,Debt Free,5.27,-35.76
Stock_197,2525.84,India,Technology,Mid Cap,Debt,39.15,-22.47
Stock_198,2677.53,China,Technology,Mid Cap,Debt Free,-20.47,59.13
Stock_199,3457.39,India,Energy,Mid Cap,Debt,30.16,96.62
Stock_200,4239.42,USA,Energy,Mid Cap,Debt,3.53,-36.21
Stock_201,139.21,India,Healthcare,Mid Cap,Debt,28.29,54.65
Stock_202,2851.36,India,Healthcare,Large Cap,Debt,23.39,75.71
Stock_203,804.35,India,Consumer Goods,Large Cap,Debt,7.27,4.13
Stock_204,4522.85,India,Energy,Small Cap,Debt,-19.1,79.25
Stock_205,2152.65,Japan,Consumer Goods,Small Cap,Debt Free,6.93,52.19
Stock_206,4163.22,India,Healthcare,Mid Cap,Debt Free,22.51,7.27
Stock_207,4433.67,India,Consumer Goods,Small Cap,Debt,37.32,6.45
Stock_208,3642.76,Japan,Finance,Mid Cap,Debt,-16.47,-14.0
Stock_209,2046.44,Japan,Finance,Mid Cap,Debt Free,-18.6,-49.67
Stock_210,3969.3,India,Consumer Goods,Large Cap,Debt,-6.78,48.6
Stock_211,4765.75,India,Technology,Large Cap,Debt Free,-16.82,25.29
Stock_212,1179.34,USA,Finance,Small Cap,Debt,33.47,1.12
Stock_213,4525.0,China,Technology,Mid Cap,Debt Free,16.9,-26.62
Stock_214,4891.17,India,Technology,Mid Cap,Debt,12.53,-17.41
Stock_215,155.75,Japan,Technology,Large Cap,Debt Free,24.16,52.62
Stock_216,1137.0,USA,Finance,Large Cap,Debt Free,19.56,-46.49
Stock_217,2307.4,China,Consumer Goods,Small Cap,Debt,-20.31,-39.99
Stock_218,1232.91,USA,Consumer Goods,Large Cap,Debt Free,46.5,3.98
Stock_219,3696.41,USA,Technology,Mid Cap,Debt,-7.26,-18.34
Stock_220,1235.1,USA,Technology,Small Cap,Debt Free,49.28,1.88
Stock_221,4055.72,USA,Technology,Small Cap,Debt,-6.3,97.04
Stock_222,1478.24,USA,Technology,Mid Cap,Debt,28.03,45.18
Stock_223,1047.95,Japan,Healthcare,Large Cap,Debt Free,32.66,7.81
Stock_224,4099.52,China,Finance,Small Cap,Debt Free,27.5,99.44
Stock_225,4939.07,India,Healthcare,Mid Cap,Debt,-28.16,70.35
Stock_226,1400.86,China,Consumer Goods,Large Cap,Debt Free,43.23,49.09
Stock_227,2992.53,Japan,Consumer Goods,Mid Cap,Debt,46.72,-42.29
Stock_228,2002.43,China,Consumer Goods,Mid Cap,Debt,-10.92,83.98
Stock_229,2239.59,USA,Healthcare,Large Cap,Debt Free,-10.04,-3.87
Stock_230,1800.88,China,Healthcare,Large Cap,Debt,-5.44,2.57
Stock_231,451.96,USA,Technology,Mid Cap,Debt,-5.24,-41.47
Stock_232,3115.78,USA,Finance,Large Cap,Debt Free,10.51,57.85
Stock_233,3897.98,Japan,Consumer Goods,Mid Cap,Debt Free,-13.39,-0.17
Stock_234,2421.31,India,Energy,Mid Cap,Debt,9.37,30.9
Stock_235,3640.57,Japan,Healthcare,Mid Cap,Debt,4.76,80.07
Stock_236,4582.88,Japan,Consumer Goods,Mid Cap,Debt Free,-23.08,94.51
Stock_237,2434.27,India,Healthcare,Mid Cap,Debt,18.62,34.05
Stock_238,1507.64,India,Healthcare,Large Cap,Debt,49.61,30.44
Stock_239,2412.65,USA,Healthcare,Mid Cap,Debt,-13.13,55.75
Stock_240,759.52,Japan,Consumer Goods,Mid Cap,Debt Free,43.7,62.79
Stock_241,2771.64,India,Finance,Small Cap,Debt,-7.85,-32.18
Stock_242,4980.1,USA,Energy,Mid Cap,Debt Free,-16.7,-38.33
Stock_243,2106.81,USA,Technology,Large Cap,Debt Free,-11.12,-1.27
Stock_244,935.36,USA,Healthcare,Small Cap,Debt,38.01,93.79
Stock_245,1312.53,China,Healthcare,Large Cap,Debt,37.71,-40.43
Stock_246,1777.42,China,Technology,Large Cap,Debt,1.12,82.88
Stock_247,3477.53,USA,Energy,Large Cap,Debt,34.81,-13.84
Stock_248,458.23,China,Technology,Mid Cap,Debt,-11.45,13.13
Stock_249,1344.7,Japan,Consumer Goods,Mid Cap,Debt Free,20.16,-4.36
Stock_250,2315.75,India,Healthcare,Small Cap,Debt,17.95,28.82
Stock_251,2829.22,India,Energy,Mid Cap,Debt,-2.42,4.78
Stock_252,1202.94,India,Finance,Mid Cap,Debt,-15.28,-25.76
Stock_253,2460.34,India,Consumer Goods,Mid Cap,Debt,-5.77,-3.81
Stock_254,3775.25,China,Finance,Mid Cap,Debt,-20.67,83.84
Stock_255,2054.85,India,Consumer Goods,Mid Cap,Debt,33.47,89.61
Stock_256,1036.71,China,Finance,Mid Cap,Debt,-9.78,-27.26
Stock_257,2217.18,USA,Technology,Mid Cap,Debt,36.23,67.06
Stock_258,2683.35,USA,Energy,Mid Cap,Debt Free,-23.71,68.26
Stock_259,1772.33,USA,Technology,Small Cap,Debt,10.07,-11.45
Stock_260,3491.52,USA,Finance,Mid Cap,Debt,42.91,82.61
Stock_261,1867.23,USA,Energy,Small Cap,Debt Free,28.76,82.91
Stock_262,1226.5,China,Energy,Large Cap,Debt,-18.49,38.83
Stock_263,4740.5,USA,Consumer Goods,Mid Cap,Debt,43.46,-29.65
Stock_264,66.28,India,Healthcare,Small Cap,Debt Free,13.73,88.82
Stock_265,1754.18,USA,Consumer Goods,Small Cap,Debt Free,-8.07,-44.79
Stock_266,2120.45,India,Healthcare,Large Cap,Debt Free,26.53,-42.98
Stock_267,2234.79,Japan,Finance,Mid Cap,Debt,-8.4,79.22
Stock_268,825.7,India,Finance,Large Cap,Debt,-11.11,-34.5
Stock_269,4557.31,India,Technology,Mid Cap,Debt,23.87,55.29
Stock_270,4978.8,India,Technology,Mid Cap,Debt,-24.05,42.63
Stock_271,4877.1,China,Consumer Goods,Mid Cap,Debt Free,2.37,-43.25
Stock_272,4297.32,USA,Finance,Large Cap,Debt,35.99,-38.51
Stock_273,1266.96,India,Finance,Small Cap,Debt,-3.77,49.88
Stock_274,1867.51,Japan,Technology,Small Cap,Debt Free,20.79,23.82
Stock_275,3305.9,China,Technology,Mid Cap,Debt,43.5,-5.23
Stock_276,349.66,USA,Technology,Small Cap,Debt Free,-26.37,17.36
Stock_277,4439.25,USA,Healthcare,Large Cap,Debt,33.55,-47.1
Stock_278,1290.5,Japan,Consumer Goods,Small Cap,Debt Free,30.7,-5.56
Stock_279,1137.48,India,Technology,Mid Cap,Debt,-1.49,85.88
Stock_280,4729.32,India,Energy,Small Cap,Debt Free,8.02,-38.67
Stock_281,3170.62,Japan,Finance,Mid Cap,Debt Free,31.87,73.19
Stock_282,3877.03,India,Technology,Mid Cap,Debt,18.12,-41.38
Stock_283,2126.03,India,Healthcare,Large Cap,Debt,-26.16,-18.79
Stock_284,3689.86,India,Technology,Small Cap,Debt,13.52,54.58
Stock_285,1124.38,India,Energy,Mid Cap,Debt,48.7,69.37
Stock_286,2897.61,USA,Healthcare,Mid Cap,Debt Free,-26.15,4.04
Stock_287,3477.04,USA,Consumer Goods,Small Cap,Debt,38.88,21.92
Stock_288,982.11,India,Healthcare,Mid Cap,Debt,43.52,58.88
Stock_289,2500.53,India,Energy,Mid Cap,Debt,30.53,-39.26
Stock_290,2323.28,India,Healthcare,Mid Cap,Debt Free,5.17,-6.11
Stock_291,689.67,India,Finance,Mid Cap,Debt,-26.63,78.17
Stock_292,2843.26,China,Consumer Goods,Small Cap,Debt Free,-23.44,56.29
Stock_293,3818.48,India,Healthcare,Mid Cap,Debt,-8.35,21.54
Stock_294,3411.26,USA,Technology,Mid Cap,Debt,35.96,57.35
Stock_295,1870.31,India,Healthcare,Mid Cap,Debt,15.02,2.17
Stock_296,3828.57,India,Finance,Small Cap,Debt,27.99,66.2
Stock_297,3499.15,Japan,Technology,Small Cap,Debt,43.01,-29.41
Stock_298,3869.84,China,Finance,Mid Cap,Debt Free,22.95,99.58
Stock_299,675.51,China,Energy,Large Cap,Debt,16.44,-13.98
Stock_300,3110.35,USA,Technology,Small Cap,Debt,-7.44,-33.45
Stock_301,2255.36,India,Technology,Small Cap,Debt,2.39,-36.28
Stock_302,2667.19,China,Technology,Mid Cap,Debt,-17.99,6.21
Stock_303,3178.53,India,Consumer Goods,Large Cap,Debt,-2.89,12.62
Stock_304,751.78,India,Technology,Large Cap,Debt,-5.88,0.72
Stock_305,2597.08,India,Technology,Mid Cap,Debt,33.5,22.72
Stock_306,690.51,China,Healthcare,Mid Cap,Debt,21.91,43.19
Stock_307,3389.24,Japan,Consumer Goods,Mid Cap,Debt,-5.33,45.14
Stock_308,4870.42,Japan,Healthcare,Large Cap,Debt,26.44,-29.73
Stock_309,4380.38,India,Technology,Small Cap,Debt,-19.16,-27.97
Stock_310,4807.6,India,Finance,Large Cap,Debt,-3.94,4.63
Stock_311,4157.32,India,Consumer Goods,Large Cap,Debt,-2.56,12.52
Stock_312,2918.03,China,Energy,Mid Cap,Debt,2.24,94.92
Stock_313,4883.97,China,Healthcare,Large Cap,Debt,-27.63,-47.04
Stock_314,715.63,India,Finance,Mid Cap,Debt,49.56,42.44
Stock_315,307.25,India,Technology,Mid Cap,Debt Free,5.03,24.82
Stock_316,2851.09,China,Healthcare,Mid Cap,Debt,-23.86,36.0
Stock_317,4492.93,Japan,Consumer Goods,Large Cap,Debt,7.95,-30.51
Stock_318,2296.09,Japan,Technology,Small Cap,Debt,-4.28,81.84
Stock_319,4009.97,China,Energy,Large Cap,Debt,36.6,51.66
Stock_320,961.02,Japan,Consumer Goods,Large Cap,Debt,16.72,-18.8
Stock_321,541.08,India,Energy,Mid Cap,Debt,14.38,-30.71
Stock_322,1046.85,India,Consumer Goods,Mid Cap,Debt Free,12.11,79.3
Stock_323,458.18,USA,Energy,Small Cap,Debt Free,3.08,-26.18
Stock_324,4407.59,India,Energy,Large Cap,Debt Free,-23.15,14.29
Stock_325,256.28,India,Finance,Mid Cap,Debt Free,6.42,-45.43
Stock_326,1385.38,India,Consumer Goods,Large Cap,Debt,-2.51,46.57
Stock_327,2611.88,USA,Consumer Goods,Large Cap,Debt Free,-2.24,95.73
Stock_328,440.73,India,Technology,Mid Cap,Debt,28.84,22.15
Stock_329,4388.96,India,Consumer Goods,Small Cap,Debt,13.1,-31.76
Stock_330,1979.08,Japan,Healthcare,Small Cap,Debt Free,32.39,20.55
Stock_331,403.91,India,Technology,Mid Cap,Debt Free,38.7,27.48
Stock_332,1364.53,USA,Consumer Goods,Mid Cap,Debt,38.82,55.26
Stock_333,3785.1,Japan,Finance,Mid Cap,Debt,40.07,-9.24
Stock_334,4298.73,USA,Healthcare,Mid Cap,Debt,41.27,-22.79
Stock_335,2935.85,Japan,Healthcare,Mid Cap,Debt,35.51,14.07
Stock_336,4521.19,USA,Healthcare,Small Cap,Debt,7.66,-30.34
Stock_337,1419.08,USA,Consumer Goods,Mid Cap,Debt,41.41,-33.55
Stock_338,3289.05,India,Technology,Small Cap,Debt Free,11.16,86.13
Stock_339,2606.64,USA,Consumer Goods,Small Cap,Debt,25.51,20.15
Stock_340,3240.98,India,Technology,Small Cap,Debt Free,18.97,-30.32
Stock_341,4388.49,China,Healthcare,Mid Cap,Debt,-1.14,63.95
Stock_342,431.7,India,Healthcare,Mid Cap,Debt Free,27.39,57.93
Stock_343,355.59,India,Technology,Mid Cap,Debt Free,15.15,-10.64
Stock_344,4211.73,India,Finance,Large Cap,Debt,6.78,61.56
Stock_345,4360.14,India,Finance,Large Cap,Debt,30.53,34.3
Stock_346,2109.13,Japan,Healthcare,Mid Cap,Debt,43.36,70.05
Stock_347,3634.81,India,Healthcare,Large Cap,Debt Free,42.22,11.35
Stock_348,3333.06,India,Finance,Mid Cap,Debt,-18.7,23.37
Stock_349,2592.52,India,Consumer Goods,Large Cap,Debt Free,20.19,76.48
Stock_350,2554.11,India,Consumer Goods,Mid Cap,Debt,-8.64,45.96
Stock_351,1171.68,India,Energy,Mid Cap,Debt,-1.88,60.71
Stock_352,2941.42,USA,Consumer Goods,Large Cap,Debt,-21.34,81.3
Stock_353,820.99,USA,Consumer Goods,Mid Cap,Debt,-29.64,84.61
Stock_354,3880.65,India,Finance,Large Cap,Debt Free,-22.07,8.51
Stock_355,4659.31,India,Finance,Large Cap,Debt Free,-20.62,24.52
Stock_356,3283.12,India,Technology,Mid Cap,Debt,29.66,-5.41
Stock_357,4209.04,Japan,Technology,Small Cap,Debt,-24.52,-26.73
Stock_358,3139.04,USA,Technology,Mid Cap,Debt,38.18,-10.83
Stock_359,679.22,India,Technology,Mid Cap,Debt,-24.71,8.71
Stock_360,1876.69,India,Healthcare,Large Cap,Debt Free,7.5,48.68
